País,Tarics,Descripción,Año,Exportaciones,Importaciones
Corea del Sur,0304,Pescados y mariscos,2009,2010.76,16438.68
Corea del Sur,0305,Pescados y mariscos,2009,760.56,96.87
Corea del Sur,0701,Verduras y hortalizas,2009,15.26,nan
Corea del Sur,0702,Verduras y hortalizas,2009,3215.21,nan
Corea del Sur,0703,Verduras y hortalizas,2009,1422.74,nan
Corea del Sur,0704,Verduras y hortalizas,2009,177.56,nan
Corea del Sur,0705,Verduras y hortalizas,2009,733.99,nan
Corea del Sur,0706,Verduras y hortalizas,2009,141.61,0.55
Corea del Sur,0707,Verduras y hortalizas,2009,334.00,nan
Corea del Sur,0708,Verduras y hortalizas,2009,183.73,0.22
Corea del Sur,0803,Frutas y frutos secos,2009,1.63,nan
Corea del Sur,0804,Frutas y frutos secos,2009,1685.11,1.36
Corea del Sur,0805,Frutas y frutos secos,2009,5064.65,nan
Corea del Sur,0806,Frutas y frutos secos,2009,690.44,nan
Corea del Sur,0807,Frutas y frutos secos,2009,60.46,nan
Corea del Sur,0808,Frutas y frutos secos,2009,1337.28,102.99
Corea del Sur,0809,Frutas y frutos secos,2009,1606.22,0.07
Corea del Sur,0810,Frutas y frutos secos,2009,7615.59,15.07
Corea del Sur,1101,Cereales y harinas,2009,4431.82,9.40
Corea del Sur,1102,Cereales y harinas,2009,1138.58,9.46
Corea del Sur,1103,Cereales y harinas,2009,535.06,2.51
Corea del Sur,1104,Cereales y harinas,2009,60.85,19.82
Corea del Sur,0401,"Huevos, productos lácteos y miel",2009,1900.70,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2009,3154.28,0.74
Corea del Sur,0403,"Huevos, productos lácteos y miel",2009,369.77,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2009,27833.51,nan
Corea del Sur,0405,"Huevos, productos lácteos y miel",2009,2038.63,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2009,117421.47,25.48
Corea del Sur,0407,"Huevos, productos lácteos y miel",2009,38.07,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2009,211.48,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2009,705.51,nan
Corea del Sur,1509,Aceites,2009,84797.28,nan
Corea del Sur,1511,Aceites,2009,7069.65,nan
Corea del Sur,1512,Aceites,2009,4131.93,nan
Corea del Sur,2201,Bebidas,2009,42343.15,44.90
Corea del Sur,2202,Bebidas,2009,26767.81,6982.53
Corea del Sur,2203,Bebidas,2009,126026.11,145.43
Corea del Sur,2204,Bebidas,2009,569487.02,107.88
Corea del Sur,2205,Bebidas,2009,5784.27,nan
Corea del Sur,2206,Bebidas,2009,4120.09,217.92
Corea del Sur,2207,Bebidas,2009,235.13,1376.72
Corea del Sur,1803,Chocolates,2009,9042.70,nan
Corea del Sur,1804,Chocolates,2009,1355.71,nan
Corea del Sur,1805,Chocolates,2009,13880.86,0.33
Corea del Sur,1905,Panaderia y pastelería,2009,95345.63,942.53
Corea del Sur,0201,Productos cárnicos,2010,0.39,nan
Corea del Sur,0202,Productos cárnicos,2010,12.05,nan
Corea del Sur,0203,Productos cárnicos,2010,221499.94,113.02
Corea del Sur,0204,Productos cárnicos,2010,1.90,nan
Corea del Sur,0205,Productos cárnicos,2010,nan,nan
Corea del Sur,0206,Productos cárnicos,2010,18901.90,nan
Corea del Sur,0207,Productos cárnicos,2010,10286.89,11.95
Corea del Sur,0208,Productos cárnicos,2010,23.57,nan
Corea del Sur,0209,Productos cárnicos,2010,758.20,nan
Corea del Sur,0210,Productos cárnicos,2010,6567.32,nan
Corea del Sur,0302,Pescados y mariscos,2010,3488.56,10.39
Corea del Sur,0303,Pescados y mariscos,2010,9822.86,44102.69
Corea del Sur,0304,Pescados y mariscos,2010,4761.88,9371.63
Corea del Sur,0305,Pescados y mariscos,2010,982.11,79.39
Corea del Sur,0701,Verduras y hortalizas,2010,45.04,nan
Corea del Sur,0702,Verduras y hortalizas,2010,1937.82,nan
Corea del Sur,0703,Verduras y hortalizas,2010,1727.41,0.37
Corea del Sur,0704,Verduras y hortalizas,2010,30.01,6.19
Corea del Sur,0705,Verduras y hortalizas,2010,809.41,nan
Corea del Sur,0706,Verduras y hortalizas,2010,68.45,16.66
Corea del Sur,0707,Verduras y hortalizas,2010,112.83,nan
Corea del Sur,0708,Verduras y hortalizas,2010,207.20,nan
Corea del Sur,0803,Frutas y frutos secos,2010,1.26,nan
Corea del Sur,0804,Frutas y frutos secos,2010,1317.88,nan
Corea del Sur,0805,Frutas y frutos secos,2010,6900.08,nan
Corea del Sur,0806,Frutas y frutos secos,2010,544.47,nan
Corea del Sur,0807,Frutas y frutos secos,2010,41.35,0.07
Corea del Sur,0808,Frutas y frutos secos,2010,1498.51,232.19
Corea del Sur,0809,Frutas y frutos secos,2010,1176.98,nan
Corea del Sur,0810,Frutas y frutos secos,2010,9418.95,4.75
Corea del Sur,1101,Cereales y harinas,2010,1217.49,25.54
Corea del Sur,1102,Cereales y harinas,2010,1197.60,15.92
Corea del Sur,1103,Cereales y harinas,2010,225.92,10.14
Corea del Sur,1104,Cereales y harinas,2010,194.49,49.09
Corea del Sur,0401,"Huevos, productos lácteos y miel",2010,4081.28,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2010,8958.51,nan
Corea del Sur,0403,"Huevos, productos lácteos y miel",2010,515.37,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2010,58786.12,nan
Corea del Sur,0405,"Huevos, productos lácteos y miel",2010,3971.59,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2010,137152.79,nan
Corea del Sur,0407,"Huevos, productos lácteos y miel",2010,2.95,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2010,11.06,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2010,1259.29,nan
Corea del Sur,1509,Aceites,2010,107729.83,nan
Corea del Sur,1511,Aceites,2010,3134.38,nan
Corea del Sur,1512,Aceites,2010,8530.80,nan
Corea del Sur,2201,Bebidas,2010,56276.57,102.12
Corea del Sur,2202,Bebidas,2010,32998.16,7565.55
Corea del Sur,2203,Bebidas,2010,165339.36,125.26
Corea del Sur,2204,Bebidas,2010,679165.37,82.40
Corea del Sur,2205,Bebidas,2010,6144.10,nan
Corea del Sur,2206,Bebidas,2010,4817.18,261.00
Corea del Sur,2207,Bebidas,2010,312.79,5192.25
Corea del Sur,1803,Chocolates,2010,15019.20,nan
Corea del Sur,1804,Chocolates,2010,2429.24,nan
Corea del Sur,1805,Chocolates,2010,31837.39,nan
Corea del Sur,1905,Panaderia y pastelería,2010,101344.06,1403.93
Corea del Sur,0201,Productos cárnicos,2011,2.96,nan
Corea del Sur,0202,Productos cárnicos,2011,22.71,nan
Corea del Sur,0203,Productos cárnicos,2011,463159.80,847.91
Corea del Sur,0204,Productos cárnicos,2011,5.32,nan
Corea del Sur,0205,Productos cárnicos,2011,nan,nan
Corea del Sur,0206,Productos cárnicos,2011,37547.17,249.09
Corea del Sur,0207,Productos cárnicos,2011,8201.38,11.36
Corea del Sur,0208,Productos cárnicos,2011,279.36,nan
Corea del Sur,0209,Productos cárnicos,2011,4123.31,161.34
Corea del Sur,0210,Productos cárnicos,2011,7147.45,16.99
Corea del Sur,0302,Pescados y mariscos,2011,5992.49,65.05
Corea del Sur,0303,Pescados y mariscos,2011,14508.09,39277.43
Corea del Sur,0304,Pescados y mariscos,2011,3224.74,7157.75
Corea del Sur,0305,Pescados y mariscos,2011,1417.45,295.62
Corea del Sur,0701,Verduras y hortalizas,2011,9.62,nan
Corea del Sur,0702,Verduras y hortalizas,2011,2320.22,nan
Corea del Sur,0703,Verduras y hortalizas,2011,1946.19,nan
Corea del Sur,0704,Verduras y hortalizas,2011,30.14,nan
Corea del Sur,0705,Verduras y hortalizas,2011,968.55,nan
Corea del Sur,0706,Verduras y hortalizas,2011,102.11,11.87
Corea del Sur,0707,Verduras y hortalizas,2011,931.61,nan
