País,Tarics,Descripción,Año,Exportaciones,Importaciones
Canadá,0206,Productos cárnicos,2010,358.26,346.33
Canadá,0207,Productos cárnicos,2010,3265.77,419.40
Canadá,0208,Productos cárnicos,2010,23.05,12.20
Canadá,0209,Productos cárnicos,2010,82.63,38.52
Canadá,0210,Productos cárnicos,2010,5993.69,nan
Canadá,0302,Pescados y mariscos,2010,3456.58,8257.50
Canadá,0303,Pescados y mariscos,2010,3390.14,11760.01
Canadá,0304,Pescados y mariscos,2010,3316.79,11161.73
Canadá,0305,Pescados y mariscos,2010,959.47,9947.60
Canadá,0701,Verduras y hortalizas,2010,5.24,25.98
Canadá,0702,Verduras y hortalizas,2010,1930.56,nan
Canadá,0703,Verduras y hortalizas,2010,1703.65,0.01
Canadá,0704,Verduras y hortalizas,2010,29.64,nan
Canadá,0705,Verduras y hortalizas,2010,691.99,nan
Canadá,0706,Verduras y hortalizas,2010,42.40,0.96
Canadá,0707,Verduras y hortalizas,2010,112.56,nan
Canadá,0708,Verduras y hortalizas,2010,206.89,185.53
Canadá,0803,Frutas y frutos secos,2010,0.06,nan
Canadá,0804,Frutas y frutos secos,2010,1309.24,nan
Canadá,0805,Frutas y frutos secos,2010,6494.25,52.10
Canadá,0806,Frutas y frutos secos,2010,510.68,197.37
Canadá,0807,Frutas y frutos secos,2010,40.25,nan
Canadá,0808,Frutas y frutos secos,2010,1498.51,16.21
Canadá,0809,Frutas y frutos secos,2010,1176.94,2196.15
Canadá,0810,Frutas y frutos secos,2010,9350.37,530.01
Canadá,1101,Cereales y harinas,2010,384.14,846.29
Canadá,1102,Cereales y harinas,2010,152.75,0.04
Canadá,1103,Cereales y harinas,2010,175.06,34.80
Canadá,1104,Cereales y harinas,2010,186.33,288.38
Canadá,0401,"Huevos, productos lácteos y miel",2010,720.61,1.24
Canadá,0402,"Huevos, productos lácteos y miel",2010,4098.07,28.20
Canadá,0403,"Huevos, productos lácteos y miel",2010,30.13,0.25
Canadá,0404,"Huevos, productos lácteos y miel",2010,2285.37,665.01
Canadá,0405,"Huevos, productos lácteos y miel",2010,355.33,1286.61
Canadá,0406,"Huevos, productos lácteos y miel",2010,106260.68,149.76
Canadá,0407,"Huevos, productos lácteos y miel",2010,2.95,13151.31
Canadá,0408,"Huevos, productos lácteos y miel",2010,nan,27.45
Canadá,0409,"Huevos, productos lácteos y miel",2010,870.76,1923.69
Canadá,1509,Aceites,2010,85412.39,4.89
Canadá,1511,Aceites,2010,284.46,nan
Canadá,1512,Aceites,2010,374.93,12.81
Canadá,2201,Bebidas,2010,52258.50,265.47
Canadá,2202,Bebidas,2010,28275.05,3100.16
Canadá,2203,Bebidas,2010,154316.50,709.92
Canadá,2204,Bebidas,2010,632574.33,599.51
Canadá,2205,Bebidas,2010,5888.03,3.01
Canadá,2206,Bebidas,2010,4565.62,659.65
Canadá,2207,Bebidas,2010,16.05,90.61
Canadá,1803,Chocolates,2010,6459.65,0.33
Canadá,1804,Chocolates,2010,233.45,nan
Canadá,1805,Chocolates,2010,17791.53,11.73
Canadá,1905,Panaderia y pastelería,2010,86296.64,5071.56
Canadá,0201,Productos cárnicos,2011,nan,5960.24
Canadá,0202,Productos cárnicos,2011,8.45,505.10
Canadá,0203,Productos cárnicos,2011,13273.81,18.79
Canadá,0204,Productos cárnicos,2011,2.06,nan
Canadá,0205,Productos cárnicos,2011,nan,26528.65
Canadá,0206,Productos cárnicos,2011,631.15,626.35
Canadá,0207,Productos cárnicos,2011,2781.44,362.30
Canadá,0208,Productos cárnicos,2011,277.32,48.02
Canadá,0209,Productos cárnicos,2011,103.96,nan
Canadá,0210,Productos cárnicos,2011,6440.27,5.47
Canadá,0302,Pescados y mariscos,2011,3962.64,10706.75
Canadá,0303,Pescados y mariscos,2011,3790.44,9129.18
Canadá,0304,Pescados y mariscos,2011,1539.02,11541.81
Canadá,0305,Pescados y mariscos,2011,1373.66,7203.97
Canadá,0701,Verduras y hortalizas,2011,9.62,56.16
Canadá,0702,Verduras y hortalizas,2011,2320.22,nan
Canadá,0703,Verduras y hortalizas,2011,1901.64,0.91
Canadá,0704,Verduras y hortalizas,2011,30.01,nan
Canadá,0705,Verduras y hortalizas,2011,866.35,0.14
Canadá,0706,Verduras y hortalizas,2011,61.37,1.81
Canadá,0707,Verduras y hortalizas,2011,931.61,nan
Canadá,0708,Verduras y hortalizas,2011,386.88,42.47
Canadá,0803,Frutas y frutos secos,2011,5.29,nan
Canadá,0804,Frutas y frutos secos,2011,1722.17,0.20
Canadá,0805,Frutas y frutos secos,2011,10972.35,nan
Canadá,0806,Frutas y frutos secos,2011,1069.28,352.05
Canadá,0807,Frutas y frutos secos,2011,122.38,nan
Canadá,0808,Frutas y frutos secos,2011,3022.56,nan
Canadá,0809,Frutas y frutos secos,2011,1320.54,4072.16
Canadá,0810,Frutas y frutos secos,2011,9918.43,1791.17
Canadá,1101,Cereales y harinas,2011,575.35,815.71
Canadá,1102,Cereales y harinas,2011,92.45,106.10
Canadá,1103,Cereales y harinas,2011,629.74,25.91
Canadá,1104,Cereales y harinas,2011,140.26,434.70
Canadá,0401,"Huevos, productos lácteos y miel",2011,1098.95,nan
Canadá,0402,"Huevos, productos lácteos y miel",2011,2672.05,0.30
Canadá,0403,"Huevos, productos lácteos y miel",2011,29.40,27.59
Canadá,0404,"Huevos, productos lácteos y miel",2011,558.91,43.10
Canadá,0405,"Huevos, productos lácteos y miel",2011,249.59,nan
Canadá,0406,"Huevos, productos lácteos y miel",2011,113646.15,53.01
Canadá,0407,"Huevos, productos lácteos y miel",2011,4.31,11635.14
Canadá,0408,"Huevos, productos lácteos y miel",2011,0.24,9.55
Canadá,0409,"Huevos, productos lácteos y miel",2011,1262.29,1076.85
Canadá,1509,Aceites,2011,85326.67,22.52
Canadá,1511,Aceites,2011,1.26,nan
Canadá,1512,Aceites,2011,512.67,24.40
Canadá,2201,Bebidas,2011,44406.73,143.25
Canadá,2202,Bebidas,2011,25831.59,2938.93
Canadá,2203,Bebidas,2011,145574.21,649.32
Canadá,2204,Bebidas,2011,687717.65,1013.11
Canadá,2205,Bebidas,2011,5837.51,nan
Canadá,2206,Bebidas,2011,2002.67,444.71
Canadá,2207,Bebidas,2011,13.88,2.36
Canadá,1803,Chocolates,2011,14311.08,0.81
Canadá,1804,Chocolates,2011,361.53,18.83
Canadá,1805,Chocolates,2011,15053.83,nan
Canadá,1905,Panaderia y pastelería,2011,104064.41,3102.43
Canadá,0201,Productos cárnicos,2012,nan,5135.04
Canadá,0202,Productos cárnicos,2012,50.89,809.96
Canadá,0203,Productos cárnicos,2012,25903.52,nan
Canadá,0204,Productos cárnicos,2012,9.05,nan
Canadá,0205,Productos cárnicos,2012,nan,28468.01
Canadá,0206,Productos cárnicos,2012,50.65,763.57
Canadá,0207,Productos cárnicos,2012,3395.31,145.14
Canadá,0208,Productos cárnicos,2012,218.76,194.49
Canadá,0209,Productos cárnicos,2012,44.53,nan
Canadá,0210,Productos cárnicos,2012,7816.96,37.54
Canadá,0302,Pescados y mariscos,2012,4949.54,11756.32
Canadá,0303,Pescados y mariscos,2012,4807.96,8122.73
Canadá,0304,Pescados y mariscos,2012,1823.72,7005.77
Canadá,0305,Pescados y mariscos,2012,2435.25,4510.88
Canadá,0701,Verduras y hortalizas,2012,11.91,nan
Canadá,0702,Verduras y hortalizas,2012,846.91,nan
Canadá,0703,Verduras y hortalizas,2012,2019.93,125.29
Canadá,0704,Verduras y hortalizas,2012,157.63,nan
Canadá,0705,Verduras y hortalizas,2012,920.77,nan
Canadá,0706,Verduras y hortalizas,2012,97.33,0.41
Canadá,0707,Verduras y hortalizas,2012,729.24,nan
Canadá,0708,Verduras y hortalizas,2012,279.41,165.25
Canadá,0803,Frutas y frutos secos,2012,14.48,nan
Canadá,0804,Frutas y frutos secos,2012,2174.93,0.38
Canadá,0805,Frutas y frutos secos,2012,19139.69,0.26
Canadá,0806,Frutas y frutos secos,2012,1406.15,64.21
Canadá,0807,Frutas y frutos secos,2012,138.30,4.02
Canadá,0808,Frutas y frutos secos,2012,3590.80,nan
Canadá,0809,Frutas y frutos secos,2012,1850.76,3984.17
Canadá,0810,Frutas y frutos secos,2012,12432.29,925.44
Canadá,1101,Cereales y harinas,2012,977.31,823.13
Canadá,1102,Cereales y harinas,2012,135.67,33.92
Canadá,1103,Cereales y harinas,2012,425.19,57.95
Canadá,1104,Cereales y harinas,2012,92.61,268.38
Canadá,0401,"Huevos, productos lácteos y miel",2012,1255.10,nan
Canadá,0402,"Huevos, productos lácteos y miel",2012,1273.43,nan
Canadá,0403,"Huevos, productos lácteos y miel",2012,55.20,9.83
Canadá,0404,"Huevos, productos lácteos y miel",2012,266.24,30.34
Canadá,0405,"Huevos, productos lácteos y miel",2012,322.37,nan
Canadá,0406,"Huevos, productos lácteos y miel",2012,113821.76,6.86
Canadá,0407,"Huevos, productos lácteos y miel",2012,6.36,10029.90
Canadá,0408,"Huevos, productos lácteos y miel",2012,4.29,88.57
Canadá,0409,"Huevos, productos lácteos y miel",2012,1130.08,393.62
Canadá,1509,Aceites,2012,84259.66,12.34
Canadá,1511,Aceites,2012,71.92,0.16
Canadá,1512,Aceites,2012,485.35,2.76
Canadá,2201,Bebidas,2012,44311.38,87.95
Canadá,2202,Bebidas,2012,31896.40,3318.09
Canadá,2203,Bebidas,2012,161982.82,857.70
Canadá,2204,Bebidas,2012,768068.16,562.41
Canadá,2205,Bebidas,2012,6373.94,0.02
Canadá,2206,Bebidas,2012,2769.46,810.16
Canadá,2207,Bebidas,2012,50.34,32.82
Canadá,1803,Chocolates,2012,14913.23,1.94
Canadá,1804,Chocolates,2012,244.92,nan
Canadá,1805,Chocolates,2012,12462.66,11.19
Canadá,1905,Panaderia y pastelería,2012,113433.95,3240.60
Canadá,0201,Productos cárnicos,2013,nan,5807.06
Canadá,0202,Productos cárnicos,2013,8.91,1312.69
Canadá,0203,Productos cárnicos,2013,28677.95,nan
Canadá,0204,Productos cárnicos,2013,90.44,nan
Canadá,0205,Productos cárnicos,2013,nan,17706.45
Canadá,0206,Productos cárnicos,2013,140.85,808.28
Canadá,0207,Productos cárnicos,2013,4617.97,14.86
Canadá,0208,Productos cárnicos,2013,620.10,138.40
Canadá,0209,Productos cárnicos,2013,171.76,88.42
Canadá,0210,Productos cárnicos,2013,8204.11,20.38
Canadá,0302,Pescados y mariscos,2013,5335.39,9296.59
Canadá,0303,Pescados y mariscos,2013,5468.47,6516.66
Canadá,0304,Pescados y mariscos,2013,1802.55,8171.40
Canadá,0305,Pescados y mariscos,2013,2305.14,3244.13
Canadá,0701,Verduras y hortalizas,2013,2.15,0.03
Canadá,0702,Verduras y hortalizas,2013,429.59,nan
Canadá,0703,Verduras y hortalizas,2013,3613.62,17.82
Canadá,0704,Verduras y hortalizas,2013,160.03,0.08
Canadá,0705,Verduras y hortalizas,2013,941.68,nan
Canadá,0706,Verduras y hortalizas,2013,127.82,13.89
Canadá,0707,Verduras y hortalizas,2013,2329.07,nan
Canadá,0708,Verduras y hortalizas,2013,302.66,48.05
Canadá,0803,Frutas y frutos secos,2013,0.16,nan
Canadá,0804,Frutas y frutos secos,2013,1811.97,0.17
Canadá,0805,Frutas y frutos secos,2013,13578.26,nan
Canadá,0806,Frutas y frutos secos,2013,1042.23,104.00
Canadá,0807,Frutas y frutos secos,2013,72.76,nan
Canadá,0808,Frutas y frutos secos,2013,1922.49,0.36
Canadá,0809,Frutas y frutos secos,2013,1734.54,1270.19
Canadá,0810,Frutas y frutos secos,2013,11563.14,1261.66
Canadá,1101,Cereales y harinas,2013,998.91,701.34
Canadá,1102,Cereales y harinas,2013,421.00,47.54
Canadá,1103,Cereales y harinas,2013,381.28,27.56
Canadá,1104,Cereales y harinas,2013,148.41,83.81
Canadá,0401,"Huevos, productos lácteos y miel",2013,1336.61,nan
Canadá,0402,"Huevos, productos lácteos y miel",2013,112.51,0.39
Canadá,0403,"Huevos, productos lácteos y miel",2013,277.89,18.87
Canadá,0404,"Huevos, productos lácteos y miel",2013,1028.35,0.71
Canadá,0405,"Huevos, productos lácteos y miel",2013,744.48,282.80
Canadá,0406,"Huevos, productos lácteos y miel",2013,114987.48,206.53
Canadá,0407,"Huevos, productos lácteos y miel",2013,nan,6635.14
Canadá,0408,"Huevos, productos lácteos y miel",2013,3.90,0.17
Canadá,0409,"Huevos, productos lácteos y miel",2013,1727.52,434.44
Canadá,1509,Aceites,2013,85793.08,42.50
Canadá,1511,Aceites,2013,26.32,0.34
Canadá,1512,Aceites,2013,813.21,17.43
Canadá,2201,Bebidas,2013,46868.78,69.62
Canadá,2202,Bebidas,2013,31277.77,2527.41
Canadá,2203,Bebidas,2013,165753.24,943.67
Canadá,2204,Bebidas,2013,768164.36,682.66
Canadá,2205,Bebidas,2013,7174.71,47.55
Canadá,2206,Bebidas,2013,6410.16,362.51
Canadá,2207,Bebidas,2013,16.74,10.25
Canadá,1803,Chocolates,2013,10144.56,2.05
Canadá,1804,Chocolates,2013,257.05,0.33
Canadá,1805,Chocolates,2013,13003.82,0.18
Canadá,1905,Panaderia y pastelería,2013,117016.98,3115.18
Canadá,0201,Productos cárnicos,2014,0.10,5146.76
Canadá,0202,Productos cárnicos,2014,222.94,956.09
Canadá,0203,Productos cárnicos,2014,41582.92,302.42
Canadá,0204,Productos cárnicos,2014,82.79,nan
Canadá,0205,Productos cárnicos,2014,nan,13812.63
Canadá,0206,Productos cárnicos,2014,3040.42,653.74
Canadá,0207,Productos cárnicos,2014,5266.24,183.98
Canadá,0208,Productos cárnicos,2014,776.69,18.31
Canadá,0209,Productos cárnicos,2014,112.71,nan
Canadá,0210,Productos cárnicos,2014,8937.88,nan
Canadá,0302,Pescados y mariscos,2014,5961.73,8887.36
Canadá,0303,Pescados y mariscos,2014,4879.36,12943.83
Canadá,0304,Pescados y mariscos,2014,3233.56,9923.70
Canadá,0305,Pescados y mariscos,2014,4621.61,3767.58
Canadá,0701,Verduras y hortalizas,2014,1.26,30.55
