País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0405,"Huevos, productos lácteos y miel",2010,24951.41,0.44
Singapur,0406,"Huevos, productos lácteos y miel",2010,11426.11,0.03
Singapur,0407,"Huevos, productos lácteos y miel",2010,73.15,nan
Singapur,0408,"Huevos, productos lácteos y miel",2010,49.29,nan
Singapur,0409,"Huevos, productos lácteos y miel",2010,264.46,0.08
Singapur,1509,Aceites,2010,3625.12,nan
Singapur,1511,Aceites,2010,75.20,18239.24
Singapur,1512,Aceites,2010,1133.77,nan
Singapur,2201,Bebidas,2010,5286.20,1.89
Singapur,2202,Bebidas,2010,5468.13,8775.71
Singapur,2203,Bebidas,2010,16574.03,1426.03
Singapur,2204,Bebidas,2010,184990.07,135.40
Singapur,2205,Bebidas,2010,398.75,nan
Singapur,2206,Bebidas,2010,177.61,0.05
Singapur,2207,Bebidas,2010,1485.15,0.26
Singapur,1803,Chocolates,2010,8112.23,nan
Singapur,1804,Chocolates,2010,135.22,nan
Singapur,1805,Chocolates,2010,8362.59,54.48
Singapur,1905,Panaderia y pastelería,2010,14354.65,9168.72
Singapur,0201,Productos cárnicos,2011,557.68,nan
Singapur,0202,Productos cárnicos,2011,45.44,nan
Singapur,0203,Productos cárnicos,2011,39983.37,57.36
Singapur,0204,Productos cárnicos,2011,55.60,nan
Singapur,0205,Productos cárnicos,2011,nan,nan
Singapur,0206,Productos cárnicos,2011,13043.97,nan
Singapur,0207,Productos cárnicos,2011,4862.03,9.09
Singapur,0208,Productos cárnicos,2011,108.91,nan
Singapur,0209,Productos cárnicos,2011,463.43,nan
Singapur,0210,Productos cárnicos,2011,3599.43,nan
Singapur,0302,Pescados y mariscos,2011,644.82,4.32
Singapur,0303,Pescados y mariscos,2011,4648.59,11985.19
Singapur,0304,Pescados y mariscos,2011,18620.20,684.94
Singapur,0305,Pescados y mariscos,2011,397.84,nan
Singapur,0701,Verduras y hortalizas,2011,245.07,nan
Singapur,0702,Verduras y hortalizas,2011,287.68,nan
Singapur,0703,Verduras y hortalizas,2011,1373.44,nan
Singapur,0704,Verduras y hortalizas,2011,16.83,nan
Singapur,0705,Verduras y hortalizas,2011,37.15,nan
Singapur,0706,Verduras y hortalizas,2011,31.38,nan
Singapur,0707,Verduras y hortalizas,2011,nan,nan
Singapur,0708,Verduras y hortalizas,2011,19.24,nan
Singapur,0803,Frutas y frutos secos,2011,nan,nan
Singapur,0804,Frutas y frutos secos,2011,8.86,nan
Singapur,0805,Frutas y frutos secos,2011,932.37,nan
Singapur,0806,Frutas y frutos secos,2011,298.34,2.89
Singapur,0807,Frutas y frutos secos,2011,835.70,nan
Singapur,0808,Frutas y frutos secos,2011,4647.01,nan
Singapur,0809,Frutas y frutos secos,2011,169.55,nan
Singapur,0810,Frutas y frutos secos,2011,1836.13,nan
Singapur,1101,Cereales y harinas,2011,169.64,0.34
Singapur,1102,Cereales y harinas,2011,56.38,8.93
Singapur,1103,Cereales y harinas,2011,10.63,nan
Singapur,1104,Cereales y harinas,2011,591.28,nan
Singapur,0401,"Huevos, productos lácteos y miel",2011,7249.54,nan
Singapur,0402,"Huevos, productos lácteos y miel",2011,60732.05,3.36
Singapur,0403,"Huevos, productos lácteos y miel",2011,4192.11,0.22
Singapur,0404,"Huevos, productos lácteos y miel",2011,16551.95,1.30
Singapur,0405,"Huevos, productos lácteos y miel",2011,29975.64,nan
Singapur,0406,"Huevos, productos lácteos y miel",2011,12464.69,nan
Singapur,0407,"Huevos, productos lácteos y miel",2011,177.60,nan
Singapur,0408,"Huevos, productos lácteos y miel",2011,1.73,nan
Singapur,0409,"Huevos, productos lácteos y miel",2011,407.17,2.98
Singapur,1509,Aceites,2011,4696.64,0.10
Singapur,1511,Aceites,2011,18.97,25940.56
Singapur,1512,Aceites,2011,6069.19,0.25
Singapur,2201,Bebidas,2011,6753.62,6.14
Singapur,2202,Bebidas,2011,7873.79,8366.74
Singapur,2203,Bebidas,2011,21024.14,1011.11
Singapur,2204,Bebidas,2011,235113.49,246.39
Singapur,2205,Bebidas,2011,455.35,nan
Singapur,2206,Bebidas,2011,849.82,7.33
Singapur,2207,Bebidas,2011,1040.91,0.74
Singapur,1803,Chocolates,2011,3596.54,nan
Singapur,1804,Chocolates,2011,149.83,18.34
Singapur,1805,Chocolates,2011,9502.81,795.68
Singapur,1905,Panaderia y pastelería,2011,15352.65,9522.86
Singapur,0201,Productos cárnicos,2012,594.68,nan
Singapur,0202,Productos cárnicos,2012,119.27,nan
Singapur,0203,Productos cárnicos,2012,56588.59,74.81
Singapur,0204,Productos cárnicos,2012,51.85,0.52
Singapur,0205,Productos cárnicos,2012,nan,nan
Singapur,0206,Productos cárnicos,2012,14408.67,nan
Singapur,0207,Productos cárnicos,2012,4443.40,nan
Singapur,0208,Productos cárnicos,2012,105.72,nan
Singapur,0209,Productos cárnicos,2012,1605.19,nan
Singapur,0210,Productos cárnicos,2012,4621.25,1.95
Singapur,0302,Pescados y mariscos,2012,776.77,1.57
Singapur,0303,Pescados y mariscos,2012,7298.14,1887.60
Singapur,0304,Pescados y mariscos,2012,2736.99,88.64
Singapur,0305,Pescados y mariscos,2012,734.59,nan
Singapur,0701,Verduras y hortalizas,2012,53.15,nan
Singapur,0702,Verduras y hortalizas,2012,1099.52,nan
Singapur,0703,Verduras y hortalizas,2012,2258.50,nan
Singapur,0704,Verduras y hortalizas,2012,47.71,nan
Singapur,0705,Verduras y hortalizas,2012,65.52,nan
Singapur,0706,Verduras y hortalizas,2012,27.32,nan
Singapur,0707,Verduras y hortalizas,2012,1.62,nan
Singapur,0708,Verduras y hortalizas,2012,8.29,nan
Singapur,0803,Frutas y frutos secos,2012,nan,nan
